out_name,units,ag,long_name,standard_name,priority,comment,frequency,cell_methods,positive
abs550aer,1,i,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
abs550aer,1,i,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
abs550aer,1,i,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
asy550aer,1,i,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
asy550aer,1,i,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
asy550aer,1,i,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550aer,1,i,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550aer,1,i,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550aer,1,i,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550bc,1,i,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550bc,1,i,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550bc,1,i,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550dust,1,i,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550dust,1,i,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550dust,1,i,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550nh4,1,i,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550nh4,1,i,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550nh4,1,i,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550no3,1,i,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550no3,1,i,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550no3,1,i,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550oa,1,i,Organic Matter Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550oa,1,i,Organic Matter Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550oa,1,i,Organic Matter Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550so4,1,i,Sulfate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550so4,1,i,Sulfate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550so4,1,i,Sulfate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550ss,1,i,Sea-Salt Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550ss,1,i,Sea-Salt Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550ss,1,i,Sea-Salt Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
ssa550aer,1,i,Aerosol Single Scattering Albedo at 550 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
ssa550aer,1,i,Aerosol Single Scattering Albedo at 550 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
ssa550aer,1,i,Aerosol Single Scattering Albedo at 550 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
toz,m,i,Total Column Ozone,equivalent_thickness_at_stp_of_atmosphere_ozone_content,CORE,,mon,area: time: mean,
toz,m,i,Total Column Ozone,equivalent_thickness_at_stp_of_atmosphere_ozone_content,CORE,,day,area: time: mean,
abs1000aer,1,i,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
abs1000aer,1,i,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
abs1000aer,1,i,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
abs350aer,1,i,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
abs350aer,1,i,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
abs350aer,1,i,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
abs440aer,1,i,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
abs440aer,1,i,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
abs440aer,1,i,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
abs870aer,1,i,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
abs870aer,1,i,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
abs870aer,1,i,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
asy1000aer,1,i,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
asy1000aer,1,i,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,day,area: time: mean,
asy1000aer,1,i,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
asy350aer,1,i,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
asy350aer,1,i,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,day,area: time: mean,
asy350aer,1,i,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
asy440aer,1,i,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
asy440aer,1,i,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,day,area: time: mean,
asy440aer,1,i,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
asy870aer,1,i,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
asy870aer,1,i,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,day,area: time: mean,
asy870aer,1,i,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
drybc,kg m-2 s-1,c,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
drybc,kg m-2 s-1,c,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
drybc,kg m-2 s-1,c,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
drydust,kg m-2 s-1,c,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
drydust,kg m-2 s-1,c,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
drydust,kg m-2 s-1,c,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
drynh4,kg m-2 s-1,c,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
drynh4,kg m-2 s-1,c,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
drynh4,kg m-2 s-1,c,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
dryno3,kg m-2 s-1,c,Dry Deposition Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
dryno3,kg m-2 s-1,c,Dry Deposition Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
dryno3,kg m-2 s-1,c,Dry Deposition Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
dryoa,kg m-2 s-1,c,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
dryoa,kg m-2 s-1,c,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
dryoa,kg m-2 s-1,c,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
dryso4,kg m-2 s-1,c,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
dryso4,kg m-2 s-1,c,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
dryso4,kg m-2 s-1,c,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
dryss,kg m-2 s-1,c,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,TIER1,,mon,area: time: mean,
dryss,kg m-2 s-1,c,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,TIER1,,day,area: time: mean,
dryss,kg m-2 s-1,c,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,TIER1,,1hr,area: time: mean,
emibc,kg m-2 s-1,c,Total Emission Rate of Black Carbon,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emibc,kg m-2 s-1,c,Total Emission Rate of Black Carbon,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
emidust,kg m-2 s-1,c,Total Emission Rate of Dust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emidust,kg m-2 s-1,c,Total Emission Rate of Dust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
eminh3,kg m-2 s-1,c,Total Emission Rate of Ammonia,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: mean time: minimum,
eminh3,kg m-2 s-1,c,Total Emission Rate of Ammonia,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: mean time: minimum,
eminox,kg m-2 s-1,c,Total Emission Rate of NOx,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: mean time: minimum,
eminox,kg m-2 s-1,c,Total Emission Rate of NOx,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: mean time: minimum,
emioa,kg m-2 s-1,c,Total Emission Rate of Organic Matter,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emioa,kg m-2 s-1,c,Total Emission Rate of Organic Matter,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
emiso2,kg m-2 s-1,c,Total Emission Rate of Sulfure Dioxide,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emiso2,kg m-2 s-1,c,Total Emission Rate of Sulfure Dioxide,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
emiso4,kg m-2 s-1,c,Total Emission Rate of Sulfate,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emiso4,kg m-2 s-1,c,Total Emission Rate of Sulfate,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
emiss,kg m-2 s-1,c,Total Emission Rate of Sea-Salt,tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emiss,kg m-2 s-1,c,Total Emission Rate of Sea-Salt,tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
emivoc,kg m-2 s-1,c,Total Emission Rate of NMVOC,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission,TIER1,daily output only if daily variations in emissions,mon,area: time: mean,
emivoc,kg m-2 s-1,c,Total Emission Rate of NMVOC,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission,TIER1,daily output only if daily variations in emissions,day,area: time: mean,
od1000aer,1,i,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
od1000aer,1,i,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
od1000aer,1,i,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
od350aer,1,i,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
od350aer,1,i,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
od350aer,1,i,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
od440aer,1,i,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
od440aer,1,i,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,day,area: time: mean,
od440aer,1,i,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER1,,3hr,area: mean time: point,
od550lt1aer,1,i,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
od550lt1aer,1,i,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,TIER1,,day,area: time: mean,
od550lt1aer,1,i,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,TIER1,,1hr,area: mean time: point,
od550soa,1,i,Secondary Organic Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,TIER1,,mon,area: time: mean,
