out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment,component
tas,mon,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,,atmosphere
tas,day,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,,atmosphere
tas,1hr,K,Near-Surface Air Temperature,air_temperature,area: mean time: point,CORE,,atmosphere
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum within days time: mean over days,CORE,maximum from all integrated time steps per day,atmosphere
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum,CORE,maximum from all integrated time steps per day,atmosphere
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum within days time: mean over days,CORE,minimum from all integrated time steps per day,atmosphere
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum,CORE,minimum from all integrated time steps per day,atmosphere
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,atmosphere
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,atmosphere
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,atmosphere
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,atmosphere
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,atmosphere
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,atmosphere
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,,atmosphere
huss,day,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,,atmosphere
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,area: mean time: point,CORE,,atmosphere
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,,atmosphere
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,,atmosphere
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,area: mean time: point,CORE,,atmosphere
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,,atmosphere
ps,day,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,,atmosphere
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,area: mean time: point,CORE,,atmosphere
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,,atmosphere
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,,atmosphere
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: mean time: point,CORE,,atmosphere
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,,atmosphere
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,,atmosphere
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,area: mean time: point,CORE,,atmosphere
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,,atmosphere
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,,atmosphere
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,area: mean time: point,CORE,,atmosphere
vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,area: time: mean,CORE,,atmosphere
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,area: time: mean,CORE,,atmosphere
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,area: mean time: point,CORE,,atmosphere
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,atmosphere
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,atmosphere
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,atmosphere
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,atmosphere
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,atmosphere
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,atmosphere
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,atmosphere
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,atmosphere
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,atmosphere
orog,fx,m,Surface Altitude,surface_altitude,area: mean,CORE,,atmosphere
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,area: mean,CORE,,atmosphere
ts,mon,K,Surface Temperature,surface_temperature,area: time: mean,TIER1,,atmosphere
ts,day,K,Surface Temperature,surface_temperature,area: time: mean,TIER1,,atmosphere
ts,1hr,K,Surface Temperature,surface_temperature,area: mean time: point,TIER1,,atmosphere
tsl,mon,K,Temperature of Soil,soil_temperature,area: mean where land time: mean,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
tsl,day,K,Temperature of Soil,soil_temperature,area: mean where land time: mean,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
tsl,6hr,K,Temperature of Soil,soil_temperature,area: mean where land time: point,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
prc,mon,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,area: time: mean,TIER1,,atmosphere
prc,day,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,area: time: mean,TIER1,,atmosphere
prc,1hr,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,area: time: mean,TIER1,,atmosphere
prhmax,day,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,area: mean time: mean within hours time: maximum over hours,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour.,atmosphere
prsn,mon,kg m-2 s-1,Snowfall Flux,snowfall_flux,area: time: mean,TIER1,,atmosphere
prsn,day,kg m-2 s-1,Snowfall Flux,snowfall_flux,area: time: mean,TIER1,,atmosphere
prsn,1hr,kg m-2 s-1,Snowfall Flux,snowfall_flux,area: time: mean,TIER1,,atmosphere
mrros,mon,kg m-2 s-1,Surface Runoff,surface_runoff_flux,area: mean where land time: mean,TIER1,,atmosphere
mrros,day,kg m-2 s-1,Surface Runoff,surface_runoff_flux,area: mean where land time: mean,TIER1,,atmosphere
mrros,6hr,kg m-2 s-1,Surface Runoff,surface_runoff_flux,area: mean where land time: mean,TIER1,,atmosphere
mrro,mon,kg m-2 s-1,Total Runoff,runoff_flux,area: mean where land time: mean,TIER1,,atmosphere
mrro,day,kg m-2 s-1,Total Runoff,runoff_flux,area: mean where land time: mean,TIER1,,atmosphere
mrro,6hr,kg m-2 s-1,Total Runoff,runoff_flux,area: mean where land time: mean,TIER1,,atmosphere
snm,mon,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,area: mean where land time: mean,TIER1,,atmosphere
snm,day,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,area: mean where land time: mean,TIER1,,atmosphere
snm,6hr,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,area: mean where land time: mean,TIER1,,atmosphere
tauu,mon,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,area: time: mean,TIER1,,atmosphere
tauu,day,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,area: time: mean,TIER1,,atmosphere
tauu,1hr,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,area: time: mean,TIER1,,atmosphere
tauv,mon,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,area: time: mean,TIER1,,atmosphere
tauv,day,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,area: time: mean,TIER1,,atmosphere
tauv,1hr,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,area: time: mean,TIER1,,atmosphere
sfcWindmax,mon,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,area: mean time: maximum within days time: mean over days,TIER1,Maximum from all integrated time steps per day,atmosphere
sfcWindmax,day,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,area: mean time: maximum,TIER1,Maximum from all integrated time steps per day,atmosphere
sund,mon,s,Daily Duration of Sunshine,duration_of_sunshine,time: sum within days time: mean over days,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",atmosphere
sund,day,s,Daily Duration of Sunshine,duration_of_sunshine,time: sum,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",atmosphere
rsdsdir,mon,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rsdsdir,day,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rsdsdir,1hr,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rsus,mon,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rsus,day,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rsus,1hr,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rlus,mon,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rlus,day,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rlus,1hr,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,,atmosphere
rlut,mon,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,TIER1,,atmosphere
rlut,day,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,TIER1,,atmosphere
rlut,1hr,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,TIER1,,atmosphere
rsdt,mon,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,area: time: mean,TIER1,,atmosphere
rsdt,day,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,area: time: mean,TIER1,,atmosphere
rsdt,1hr,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,area: time: mean,TIER1,,atmosphere
rsut,mon,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,area: time: mean,TIER1,,atmosphere
rsut,day,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,area: time: mean,TIER1,,atmosphere
rsut,1hr,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,area: time: mean,TIER1,,atmosphere
hfls,mon,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,area: time: mean,TIER1,,atmosphere
hfls,day,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,area: time: mean,TIER1,,atmosphere
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,area: time: mean,TIER1,,atmosphere
hfss,mon,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,area: time: mean,TIER1,,atmosphere
hfss,day,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,area: time: mean,TIER1,,atmosphere
hfss,1hr,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,area: time: mean,TIER1,,atmosphere
mrfso,mon,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,area: mean where land time: mean,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",atmosphere
mrfso,day,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,area: mean where land time: mean,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",atmosphere
mrfso,6hr,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,area: mean where land time: point,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",atmosphere
mrfsos,mon,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,area: time: mean,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),atmosphere
mrfsos,day,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,area: time: mean,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),atmosphere
mrfsos,1hr,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,area: mean time: point,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),atmosphere
mrsfl,mon,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,area: mean where land time: mean,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",atmosphere
mrsfl,day,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,area: mean where land time: mean,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",atmosphere
mrsfl,6hr,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,area: mean where land time: point,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",atmosphere
mrso,mon,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,area: mean where land time: mean,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",atmosphere
mrso,day,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,area: mean where land time: mean,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",atmosphere
mrso,6hr,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,area: mean where land time: point,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",atmosphere
mrsos,mon,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,area: mean where land time: mean,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,atmosphere
mrsos,day,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,area: mean where land time: mean,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,atmosphere
mrsos,1hr,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,area: mean where land time: point,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,atmosphere
mrsol,mon,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,area: mean where land time: mean,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
mrsol,day,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,area: mean where land time: mean,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
mrsol,6hr,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,area: mean where land time: point,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
snw,mon,kg m-2,Surface Snow Amount,surface_snow_amount,area: mean where land time: mean,TIER1,,atmosphere
snw,day,kg m-2,Surface Snow Amount,surface_snow_amount,area: mean where land time: mean,TIER1,,atmosphere
snw,6hr,kg m-2,Surface Snow Amount,surface_snow_amount,area: mean where land time: point,TIER1,,atmosphere
snc,mon,%,Snow Area Percentage,surface_snow_area_fraction,area: time: mean,TIER1,,atmosphere
snc,day,%,Snow Area Percentage,surface_snow_area_fraction,area: time: mean,TIER1,,atmosphere
snc,6hr,%,Snow Area Percentage,surface_snow_area_fraction,area: mean time: point,TIER1,,atmosphere
snd,mon,m,Snow Depth,surface_snow_thickness,area: mean where land time: mean,TIER1,,atmosphere
snd,day,m,Snow Depth,surface_snow_thickness,area: mean where land time: mean,TIER1,,atmosphere
snd,6hr,m,Snow Depth,surface_snow_thickness,area: mean where land time: point,TIER1,,atmosphere
siconca,mon,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,area: time: mean,TIER1,daily and monthly means,atmosphere
siconca,day,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,area: time: mean,TIER1,daily and monthly means,atmosphere
zmla,mon,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,area: time: mean,TIER1,,atmosphere
zmla,day,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,area: time: mean,TIER1,,atmosphere
zmla,1hr,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,area: mean time: point,TIER1,,atmosphere
prw,mon,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,area: time: mean,TIER1,,atmosphere
prw,day,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,area: time: mean,TIER1,,atmosphere
prw,1hr,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,area: mean time: point,TIER1,,atmosphere
clwvi,mon,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,area: time: mean,TIER1,,atmosphere
clwvi,day,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,area: time: mean,TIER1,,atmosphere
clwvi,1hr,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,area: mean time: point,TIER1,,atmosphere
clivi,mon,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,area: time: mean,TIER1,,atmosphere
clivi,day,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,area: time: mean,TIER1,,atmosphere
clivi,1hr,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,area: mean time: point,TIER1,,atmosphere
ua1000,mon,m s-1,Eastward Wind at 1000hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua1000,day,m s-1,Eastward Wind at 1000hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua1000,6hr,m s-1,Eastward Wind at 1000hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua925,mon,m s-1,Eastward Wind at 925hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua925,day,m s-1,Eastward Wind at 925hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua925,6hr,m s-1,Eastward Wind at 925hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua850,mon,m s-1,Eastward Wind at 850hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua850,day,m s-1,Eastward Wind at 850hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua850,6hr,m s-1,Eastward Wind at 850hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua700,mon,m s-1,Eastward Wind at 700hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua700,day,m s-1,Eastward Wind at 700hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua700,6hr,m s-1,Eastward Wind at 700hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua600,mon,m s-1,Eastward Wind at 600hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua600,day,m s-1,Eastward Wind at 600hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua600,6hr,m s-1,Eastward Wind at 600hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua500,mon,m s-1,Eastward Wind at 500hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua500,day,m s-1,Eastward Wind at 500hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua500,6hr,m s-1,Eastward Wind at 500hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua400,mon,m s-1,Eastward Wind at 400hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua400,day,m s-1,Eastward Wind at 400hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua400,6hr,m s-1,Eastward Wind at 400hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua300,mon,m s-1,Eastward Wind at 300hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua300,day,m s-1,Eastward Wind at 300hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua300,6hr,m s-1,Eastward Wind at 300hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua250,mon,m s-1,Eastward Wind at 250hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua250,day,m s-1,Eastward Wind at 250hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua250,6hr,m s-1,Eastward Wind at 250hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
ua200,mon,m s-1,Eastward Wind at 200hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua200,day,m s-1,Eastward Wind at 200hPa,eastward_wind,area: time: mean,TIER1,,atmosphere
ua200,6hr,m s-1,Eastward Wind at 200hPa,eastward_wind,area: mean time: point,TIER1,,atmosphere
va1000,mon,m s-1,Northward Wind at 1000hPa,northward_wind,area: time: mean,TIER1,,atmosphere
va1000,day,m s-1,Northward Wind at 1000hPa,northward_wind,area: time: mean,TIER1,,atmosphere
va1000,6hr,m s-1,Northward Wind at 1000hPa,northward_wind,area: mean time: point,TIER1,,atmosphere
va925,mon,m s-1,Northward Wind at 925hPa,northward_wind,area: time: mean,TIER1,,atmosphere
va925,day,m s-1,Northward Wind at 925hPa,northward_wind,area: time: mean,TIER1,,atmosphere
va925,6hr,m s-1,Northward Wind at 925hPa,northward_wind,area: mean time: point,TIER1,,atmosphere
va850,mon,m s-1,Northward Wind at 850hPa,northward_wind,area: time: mean,TIER1,,atmosphere
va850,day,m s-1,Northward Wind at 850hPa,northward_wind,area: time: mean,TIER1,,atmosphere
